,Year,Month,Avr.ID,Avrakning,Medlemsnummer,Avr.Omr,Avrakningsomrade,Verknummer, ,Typ av framforande inom avrakningsomradet,Land,Roll,Andel%,Belopp,Avtalsnummer,Avtalsnamn,Filmnummer,Filmtitel,Episodtitel,Rattighet,Antal Spelningar
43,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B206,KANAL 5,SVERIGE,CA,"11,12",0.22,,,874674.0,TUNNELBANAN,,PR,
44,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B206,KANAL 5,SVERIGE,CA,"11,12",0.28,,,876507.0,WAHLGRENS VÄRLD,,PR,
45,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B206,KANAL 5,SVERIGE,CA,"11,12",0.7,,,900221.0,WAHLGRENS VÄRLD,,PR,
46,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B214,SJUAN,SVERIGE,CA,"11,12",0.26,,,841217.0,DIY SOS: THE BIG BUILD,HOPESAY,PR,
47,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B305,iTunes Downloads - Bakgrund,SVERIGE,CA,"10,94",95.81,,,,,,PR,
48,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B305,iTunes Downloads - Bakgrund,SVERIGE,CA,"10,94",72.28,,,,,,PR,
49,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B305,iTunes Downloads - Bakgrund,SVERIGE,CA,"10,94",26.15,,,,,,PR,
50,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B305,iTunes Downloads - Bakgrund,SVERIGE,CA,"10,94",36.51,,,,,,PR,
51,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B305,iTunes Downloads - Bakgrund,SVERIGE,CA,"10,94",21.66,,,,,,PR,
52,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B511,SVT1 SKIVA,SVERIGE,CA,"11,12",128.97,,,,,,PR,
53,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B512,SVT2 SKIVA,SVERIGE,CA,"11,12",9.58,,,,,,PR,
54,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B553,P5 STOCKHOLM,SVERIGE,CA,"11,12",0.46,,,,,,PR,
55,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B801,MEGAPOL,SVERIGE,CA,"11,12",545.76,,,,,,PR,
56,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B808,NRJ,SVERIGE,CA,"11,12",321.42,,,,,,PR,
57,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B837,RIX,SVERIGE,CA,"11,12",398.2,,,,,,PR,
58,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,31495330,300,SPOTIFY - BAKGRUND,SVERIGE,CA,"8,9",3.91,,,,,,PR,
59,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,31495330,302,YOUTUBE,SVERIGE,CA,"8,9",1.16,,,,,,PR,
60,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,31495330,B305,iTunes Downloads - Bakgrund,SVERIGE,CA,"8,9",0.53,,,,,,PR,
61,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,31495330,B305,iTunes Downloads - Bakgrund,SVERIGE,CA,"8,9",1.14,,,,,,PR,
62,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,32535896,300,SPOTIFY - BAKGRUND,SVERIGE,CA,"12,5",0.32,,,,,,PR,
63,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,32535896,B511,SVT1 SKIVA,SVERIGE,CA,"12,5",10.5,,,,,,PR,
64,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,35175987,B1041,P4 LOKAL,SVERIGE,CA,"25,0",15.64,,,,,,PR,
65,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,35175987,B305,iTunes Downloads - Bakgrund,SVERIGE,CA,"25,0",1.29,,,,,,PR,
66,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,35175987,B305,iTunes Downloads - Bakgrund,SVERIGE,CA,"25,0",2.84,,,,,,PR,
67,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,35175987,B511,SVT1 SKIVA,SVERIGE,CA,"25,0",13.04,,,,,,PR,
68,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,35175994,300,SPOTIFY - BAKGRUND,SVERIGE,CA,"10,0",1.68,,,,,,PR,
69,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,35175994,B305,iTunes Downloads - Bakgrund,SVERIGE,CA,"10,0",1.01,,,,,,PR,
